xi,S_hor,S_rad,S_tot,eta_GSL,P_norm
0.000000000000000000e+00,8.521076869466934767e-01,1.556453191630049471e+00,2.408560878576742947e+00,nan,2.582651737484662980e+07
6.030150753768843963e-02,9.952115530126359744e-01,1.657579700959338265e+00,2.652791253971974239e+00,1.000000000000000000e+00,2.582651737484673411e+07
1.206030150753768793e-01,1.299890638107536578e+00,1.793427814928912678e+00,3.093318453036449256e+00,1.000000000000000000e+00,2.582651737484686077e+07
1.809045226130653328e-01,1.627578833569232275e+00,2.077856446006393298e+00,3.705435279575625351e+00,1.000000000000000000e+00,2.582651737484700978e+07
2.412060301507537585e-01,1.790693143161191436e+00,2.589293396319039875e+00,4.379986539480231755e+00,1.000000000000000000e+00,2.582651737484717369e+07
3.015075376884421843e-01,1.384826501693031897e+00,2.895738976827493261e+00,4.280565478520525602e+00,9.519901401151242837e-01,2.582651737484737858e+07
3.618090452261306655e-01,1.177099609532930247e+00,2.492163884954574637e+00,3.669263494487505106e+00,7.350172854210762496e-01,2.582651737484757230e+07
4.221105527638190913e-01,1.516832217135472227e+00,2.829741731660077697e+00,4.346573948795549924e+00,7.884412308350509102e-01,2.582651737484775856e+07
4.824120603015075170e-01,1.626417440477117227e+00,2.684822006110487713e+00,4.311239446587604718e+00,7.802347885053629861e-01,2.582651737484796718e+07
5.427135678391959983e-01,1.506541231399702196e+00,2.700247368730867237e+00,4.206788600130569655e+00,7.569451372997814120e-01,2.582651737484816462e+07
6.030150753768843686e-01,1.553166263565669780e+00,2.673006192089280919e+00,4.226172455654950255e+00,7.582841080165400038e-01,2.582651737484835088e+07
6.633165829145728498e-01,1.588791691562202457e+00,2.532841968861503368e+00,4.121633660423706047e+00,7.364054301629752164e-01,2.582651737484855205e+07
7.236180904522613311e-01,1.470680816380996569e+00,2.552730153037876093e+00,4.023410969418872440e+00,7.169686804741620678e-01,2.582651737484874576e+07
7.839195979899497013e-01,1.311431394173765419e+00,2.644827684337797358e+00,3.956259078511562777e+00,7.042604127817949644e-01,2.582651737484895438e+07
8.442211055276381826e-01,1.522409395191376191e+00,2.652612528303638584e+00,4.175021923495014775e+00,7.204051385138269259e-01,2.582651737484914064e+07
9.045226130653265528e-01,1.526208516331159393e+00,2.653277909444562876e+00,4.179486425775722047e+00,7.207162860074012301e-01,2.582651737484933436e+07
9.648241206030150341e-01,1.569474097271230439e+00,2.602746146663613480e+00,4.172220243934844142e+00,7.194132729116800018e-01,2.582651737484953925e+07
1.025125628140703515e+00,1.549179038600617009e+00,2.587060178498614249e+00,4.136239217099230814e+00,7.130297650834542811e-01,2.582651737484969199e+07
1.085427135678391997e+00,1.478850943919559846e+00,2.588918776128528165e+00,4.067769720048088011e+00,7.011900760847590286e-01,2.582651737484983355e+07
1.145728643216080256e+00,1.560647056495547691e+00,2.614896064616549332e+00,4.175543121112097467e+00,7.088009929025154143e-01,2.582651737485000119e+07
1.206030150753768737e+00,1.589417102823830419e+00,2.644140821265892338e+00,4.233557924089723201e+00,7.127396205186740108e-01,2.582651737485019490e+07
1.266331658291457218e+00,1.523798618985876763e+00,2.596033017779507013e+00,4.119831636765383998e+00,6.943300757520707300e-01,2.582651737485039234e+07
1.326633165829145700e+00,1.515820341555303541e+00,2.555938311596049672e+00,4.071758653151353435e+00,6.868310937463124599e-01,2.582651737485057116e+07
1.386934673366834181e+00,1.559024523882620583e+00,2.585045492682866541e+00,4.144070016565486902e+00,6.918374490372805052e-01,2.582651737485077977e+07
1.447236180904522662e+00,1.513373397565972667e+00,2.717341335842504257e+00,4.230714733408476924e+00,6.976293117227391205e-01,2.582651737485098094e+07
1.507537688442210921e+00,1.477181763612382515e+00,2.739533910337445644e+00,4.216715673949828158e+00,6.955172671264255868e-01,2.582651737485116720e+07
1.567839195979899403e+00,1.574178995191745534e+00,2.700809479131986102e+00,4.274988474323731857e+00,6.993066562997812818e-01,2.582651737485136092e+07
1.628140703517587884e+00,1.503822891849812882e+00,2.662403328669361358e+00,4.166226220519174461e+00,6.834316488780114440e-01,2.582651737485155836e+07
1.688442211055276365e+00,1.501852108804729857e+00,2.688839041609157210e+00,4.190691150413886845e+00,6.850399505812810874e-01,2.582651737485174090e+07
1.748743718592964846e+00,1.496602450623502056e+00,2.756524092135671289e+00,4.253126542759173567e+00,6.890712749458502984e-01,2.582651737485191971e+07
1.809045226130653106e+00,1.470267340521756116e+00,2.803474720350255467e+00,4.273742060872011805e+00,6.903798087810054662e-01,2.582651737485210970e+07
1.869346733668341587e+00,1.552975396666767427e+00,2.780594730668301651e+00,4.333570127335068634e+00,6.941156812084733341e-01,2.582651737485226989e+07
1.929648241206030068e+00,1.451925459023691856e+00,2.711376494673741977e+00,4.163301953697433611e+00,6.710715622498896193e-01,2.582651737485246733e+07
1.989949748743718549e+00,1.488793807880604447e+00,2.669052878138880480e+00,4.157846686019484927e+00,6.703585155556160968e-01,2.582651737485264987e+07
2.050251256281407031e+00,1.474078459130981233e+00,2.746578121927957916e+00,4.220656581058939594e+00,6.743425415831617586e-01,2.582651737485280633e+07
2.110552763819095290e+00,1.481186219152014649e+00,2.776548688980003732e+00,4.257734908132018603e+00,6.766495323830314934e-01,2.582651737485296279e+07
2.170854271356783993e+00,1.477546122778564230e+00,2.768913661495930434e+00,4.246459784274494886e+00,6.751950272482072357e-01,2.582651737485311180e+07
2.231155778894472252e+00,1.473107529014958672e+00,2.703632414413360330e+00,4.176739943428319002e+00,6.663381380933561804e-01,2.582651737485329434e+07
2.291457286432160512e+00,1.577196435422827392e+00,2.692539814456822445e+00,4.269736249879649392e+00,6.720757974194560003e-01,2.582651737485346571e+07
2.351758793969849215e+00,1.334012845544236159e+00,2.796967640298970270e+00,4.130980485843206651e+00,6.552634080733039657e-01,2.582651737485364079e+07
2.412060301507537474e+00,1.519935718162607419e+00,2.858932906029846066e+00,4.378868624192453041e+00,6.700108129982729199e-01,2.582651737485380843e+07
2.472361809045226178e+00,1.492743462022163126e+00,2.755357045629815982e+00,4.248100507651979107e+00,6.552243476139104628e-01,2.582651737485401332e+07
2.532663316582914437e+00,1.512594085855249348e+00,2.753852316926949317e+00,4.266446402782198888e+00,6.562885240301542522e-01,2.582651737485421449e+07
2.592964824120602696e+00,1.473532600470972787e+00,2.702753218343344699e+00,4.176285818814317707e+00,6.464820847247615410e-01,2.582651737485440075e+07
